	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00310832	3	1	1	1	1	1	0	48	0	0	30.6269	 	0	0
UL	0.00360832	3	6	1	1	1	1	0	48	0	0	14.5261 	0	0
DL	0.00400832	4	0	1	1	1	1	0	1776	28	0	31.2268	 	0	6.66134e-16
DL	0.0331083	33	1	1	1	1	1	0	48	0	0	30.3319	 	0	0
UL	0.0336083	33	6	1	1	1	1	0	48	0	0	14.9301 	0	0
DL	0.0340083	34	0	1	1	1	1	0	1776	28	0	31.0443	 	0	6.09392e-09
UL	0.0345083	34	5	1	1	1	1	0	963	19	0	14.1049 	0	4.53722e-11
DL	0.0540125	54	0	1	2	1	1	0	100	0	0	31.5041	 	0	0
UL	0.0545083	54	5	1	1	1	1	0	48	0	0	15.7807 	0	0
UL	0.100321	100	3	1	4	1	1	0	204	0	0	15.9586 	0	0
UL	0.300321	300	3	1	4	1	1	0	204	0	0	17.1024 	0	0
UL	0.500321	500	3	1	4	1	1	0	204	0	0	19.5189 	0	0
UL	0.700321	700	3	1	4	1	1	0	204	0	0	20.0203 	0	0
UL	0.900321	900	3	1	4	1	1	0	204	0	0	17.7925 	0	0
UL	1.10032	1100	3	1	4	1	1	0	204	0	0	20.6446 	0	0
DL	1.10471	1104	7	1	2	1	1	0	100	0	0	36.2534	 	0	0
DL	1.10711	1107	1	1	1	1	1	0	1776	28	0	37.6139	 	0	0
UL	1.10791	1107	9	1	1	2	1	0	48	0	0	15.8263 	0	0
DL	1.10831	1108	3	1	1	2	1	0	48	0	0	34.5912	 	0	0
DL	1.13831	1138	3	1	2	2	1	0	100	0	0	33.8477	 	0	0
UL	1.13881	1138	8	1	1	2	1	0	48	0	0	17.1309 	0	0
DL	1.13921	1139	2	1	1	2	1	0	1776	28	0	34.5126	 	0	0
UL	1.30032	1300	3	1	4	2	1	0	204	0	0	20.3453 	0	0
DL	1.30471	1304	7	1	2	2	1	0	100	0	0	35.6226	 	0	0
DL	1.30711	1307	1	1	1	2	1	0	1776	28	0	35.9937	 	0	0
UL	1.30791	1307	9	1	1	1	2	0	48	0	0	22.1012 	0	0
DL	1.30831	1308	3	1	1	1	2	0	48	0	0	39.0652	 	0	0
DL	1.33831	1338	3	1	2	1	2	0	100	0	0	37.3817	 	0	0
UL	1.33881	1338	8	1	1	1	2	0	48	0	0	22.6557 	0	0
DL	1.33921	1339	2	1	1	1	2	0	1776	28	0	37.3257	 	0	0
UL	1.50032	1500	3	1	4	1	2	0	204	0	0	14.7288 	0	0
DL	1.50471	1504	7	1	2	1	2	0	100	0	0	36.0263	 	0	0
DL	1.50711	1507	1	1	1	1	2	0	1776	28	0	31.1939	 	0	0
UL	1.50791	1507	9	1	1	2	2	0	48	0	0	15.9046 	0	0
DL	1.50831	1508	3	1	1	2	2	0	48	0	0	33.354	 	0	0
DL	1.53831	1538	3	1	2	2	2	0	100	0	0	33.5852	 	0	0
UL	1.53881	1538	8	1	1	2	2	0	48	0	0	16.4018 	0	0
DL	1.53921	1539	2	1	1	2	2	0	1776	28	0	32.9881	 	0	1.47216e-13
UL	1.70032	1700	3	1	4	2	2	0	204	0	0	23.4855 	0	0
UL	1.90032	1900	3	1	4	2	2	0	204	0	0	20.1291 	0	0
DL	1.90471	1904	7	1	2	2	2	0	100	0	0	34.818	 	0	0
DL	1.90711	1907	1	1	1	2	2	0	1776	28	0	34.059	 	0	3.13083e-14
UL	1.90791	1907	9	1	1	1	3	0	48	0	0	19.5748 	0	0
DL	1.90831	1908	3	1	1	1	3	0	48	0	0	36.5132	 	0	0
DL	1.93831	1938	3	1	2	1	3	0	100	0	0	36.3522	 	0	0
UL	1.93881	1938	8	1	1	1	3	0	48	0	0	20.4911 	0	0
DL	1.93921	1939	2	1	1	1	3	0	1776	28	0	35.3549	 	0	0
